coverage,macro_f1,recall_pneumonia
0.1,0.47257383966244726,1.0
0.1473684210526316,0.6108758368308317,0.9984326018808778
0.19473684210526315,0.8217012032686701,0.9720898570456092
0.24210526315789474,0.868671376340088,0.9484404837683005
0.2894736842105263,0.87849924159234,0.9222488038277512
0.33684210526315794,0.8754296408107287,0.8877665544332211
0.38421052631578945,0.863050975422835,0.8449449973808276
0.43157894736842106,0.8525191183085921,0.8081791626095424
0.4789473684210527,0.8432784439637742,0.7765617875056999
0.5263157894736842,0.8298126390584133,0.7417721518987341
0.5736842105263158,0.8188088269225751,0.7132757266300078
0.6210526315789474,0.8047463846118657,0.6809282088469906
0.6684210526315789,0.7908586616730295,0.655792276964048
0.7157894736842105,0.7806319149867244,0.6405009163103238
0.7631578947368421,0.7699144618943403,0.627046866177301
0.8105263157894737,0.7604796208807001,0.6187729417933928
0.8578947368421053,0.751102527619479,0.6123691258826394
0.9052631578947369,0.7421305147270476,0.6071347421040673
0.9526315789473684,0.7346715569653715,0.6070138150903295
1.0,0.7267578722479083,0.6064
