threshold,CXR_VAL_macro_f1,CXR_VAL_recall_pneumonia,CHEXPERT_macro_f1,CHEXPERT_recall_pneumonia
0.05,0.32602637934237416,1.0,0.3333333333333333,1.0
0.055,0.32602637934237416,1.0,0.3333333333333333,1.0
0.06,0.32602637934237416,1.0,0.3333333333333333,1.0
0.065,0.32602637934237416,1.0,0.3333333333333333,1.0
0.07,0.32602637934237416,1.0,0.3333333333333333,1.0
0.075,0.32602637934237416,1.0,0.3333333333333333,1.0
0.08,0.32602637934237416,1.0,0.3333333333333333,1.0
0.08499999999999999,0.32602637934237416,1.0,0.3333333333333333,1.0
0.09,0.32602637934237416,1.0,0.3333333333333333,1.0
0.095,0.32602637934237416,1.0,0.3333333333333333,1.0
0.09999999999999999,0.32602637934237416,1.0,0.3333333333333333,1.0
0.105,0.32602637934237416,1.0,0.3333333333333333,1.0
0.10999999999999999,0.32602637934237416,1.0,0.3333333333333333,1.0
0.11499999999999999,0.32602637934237416,1.0,0.3333333333333333,1.0
0.12,0.32602637934237416,1.0,0.3333333333333333,1.0
0.12499999999999999,0.32602637934237416,1.0,0.3333333333333333,1.0
0.13,0.32602637934237416,1.0,0.3333333333333333,1.0
0.135,0.32602637934237416,1.0,0.3333333333333333,1.0
0.13999999999999999,0.32602637934237416,1.0,0.3333333333333333,1.0
0.145,0.32602637934237416,1.0,0.3333333333333333,1.0
0.14999999999999997,0.32602637934237416,1.0,0.3333333333333333,1.0
0.15499999999999997,0.32602637934237416,1.0,0.3333333333333333,1.0
0.15999999999999998,0.32602637934237416,1.0,0.3333333333333333,1.0
0.16499999999999998,0.32602637934237416,1.0,0.3333333333333333,1.0
0.16999999999999998,0.32602637934237416,1.0,0.3333333333333333,1.0
0.175,0.32602637934237416,1.0,0.3333333333333333,1.0
0.18,0.32602637934237416,1.0,0.3333333333333333,1.0
0.185,0.32602637934237416,1.0,0.3333333333333333,1.0
0.19,0.32602637934237416,1.0,0.3333333333333333,1.0
0.195,0.32602637934237416,1.0,0.3333333333333333,1.0
0.19999999999999996,0.32602637934237416,1.0,0.3333333333333333,1.0
0.20499999999999996,0.32602637934237416,1.0,0.3333333333333333,1.0
0.20999999999999996,0.32602637934237416,1.0,0.3333333333333333,1.0
0.21499999999999997,0.32602637934237416,1.0,0.3333333333333333,1.0
0.21999999999999997,0.32602637934237416,1.0,0.3333333333333333,1.0
0.22499999999999998,0.32602637934237416,1.0,0.3333333333333333,1.0
0.22999999999999998,0.32602637934237416,1.0,0.3333333333333333,1.0
0.235,0.32602637934237416,1.0,0.3333333333333333,1.0
0.24,0.32602637934237416,1.0,0.3333333333333333,1.0
0.245,0.32602637934237416,1.0,0.3333333333333333,1.0
0.24999999999999994,0.32602637934237416,1.0,0.3333333333333333,1.0
0.25499999999999995,0.32602637934237416,1.0,0.3333333333333333,1.0
0.25999999999999995,0.32602637934237416,1.0,0.3333333333333333,1.0
0.26499999999999996,0.32602637934237416,1.0,0.3333333333333333,1.0
0.26999999999999996,0.32602637934237416,1.0,0.3333333333333333,1.0
0.27499999999999997,0.32602637934237416,1.0,0.3333333333333333,1.0
0.27999999999999997,0.32602637934237416,1.0,0.3333333333333333,1.0
0.285,0.32602637934237416,1.0,0.3333333333333333,1.0
0.29,0.32602637934237416,1.0,0.3333333333333333,1.0
0.295,0.32602637934237416,1.0,0.3333333333333333,1.0
0.3,0.32602637934237416,1.0,0.3333333333333333,1.0
0.30499999999999994,0.32602637934237416,1.0,0.3333333333333333,1.0
0.30999999999999994,0.32602637934237416,1.0,0.3333333333333333,1.0
0.31499999999999995,0.32602637934237416,1.0,0.3333333333333333,1.0
0.31999999999999995,0.32602637934237416,1.0,0.3333333333333333,1.0
0.32499999999999996,0.32602637934237416,1.0,0.3333333333333333,1.0
0.32999999999999996,0.32602637934237416,1.0,0.3333333333333333,1.0
0.33499999999999996,0.32602637934237416,1.0,0.3333333333333333,1.0
0.33999999999999997,0.32602637934237416,1.0,0.3333333333333333,1.0
0.3449999999999999,0.41661516656880704,0.9994301994301994,0.3544308622001659,0.9978
0.3499999999999999,0.9685646506002779,0.98005698005698,0.7404964473963649,0.7368
0.3549999999999999,0.9704860687411023,0.9754985754985755,0.7407745809952028,0.6886
0.35999999999999993,0.970204141598767,0.9715099715099715,0.7361394367928455,0.6632
0.36499999999999994,0.9702031355514591,0.9709401709401709,0.7350678071282354,0.6516
0.36999999999999994,0.969926724090401,0.9703703703703703,0.7338324413795201,0.6438
0.37499999999999994,0.9693738588148489,0.9692307692307692,0.7341499257153931,0.6406
0.37999999999999995,0.9693738588148489,0.9692307692307692,0.7336313431131626,0.638
0.38499999999999995,0.9696492368047038,0.9692307692307692,0.7327903633516639,0.6348
0.38999999999999996,0.9699246198957387,0.9692307692307692,0.7319786030797559,0.6322
0.39499999999999996,0.9702000082138897,0.9692307692307692,0.7316640939178098,0.63
0.3999999999999999,0.9702000082138897,0.9692307692307692,0.731358722847002,0.628
0.4049999999999999,0.9702000082138897,0.9692307692307692,0.7315029509788327,0.6272
0.4099999999999999,0.9702000082138897,0.9692307692307692,0.7310040592276841,0.6252
0.4149999999999999,0.9702000082138897,0.9692307692307692,0.7310987967319108,0.6236
0.41999999999999993,0.9699235402380991,0.9686609686609686,0.7308478281262683,0.6226
0.42499999999999993,0.9699235402380991,0.9686609686609686,0.7307989789077658,0.6218
0.42999999999999994,0.9701989293567743,0.9686609686609686,0.7307497628409875,0.621
0.43499999999999994,0.9701989293567743,0.9686609686609686,0.7303899986179068,0.6198
0.43999999999999995,0.9701989293567743,0.9686609686609686,0.729814355504474,0.6182
0.44499999999999995,0.9701989293567743,0.9686609686609686,0.7297637003519356,0.6174
0.4499999999999999,0.9701989293567743,0.9686609686609686,0.7291864941745845,0.6158
0.4549999999999999,0.9704743239961414,0.9686609686609686,0.7291478060095136,0.6152
0.4599999999999999,0.9704743239961414,0.9686609686609686,0.728866934921035,0.6138
0.4649999999999999,0.9704743239961414,0.9686609686609686,0.7285429647100985,0.6132
0.4699999999999999,0.9704732280616752,0.9680911680911681,0.7283005587512199,0.6124
0.4749999999999999,0.9704732280616752,0.9680911680911681,0.7277201369753425,0.6108
0.4799999999999999,0.9704732280616752,0.9680911680911681,0.7279642848775874,0.6102
0.48499999999999993,0.9704732280616752,0.9680911680911681,0.7278155318244405,0.6094
0.48999999999999994,0.9707486296501835,0.9680911680911681,0.7274633736768773,0.6084
0.49499999999999994,0.9707486296501835,0.9680911680911681,0.7268939455454966,0.607
0.49999999999999994,0.9710240371790493,0.9680911680911681,0.7267578722479083,0.6064
0.5049999999999999,0.9707475171353488,0.9675213675213675,0.7259701948032874,0.6046
0.5099999999999999,0.9707475171353488,0.9675213675213675,0.7252901123923217,0.603
0.5149999999999999,0.9707475171353488,0.9675213675213675,0.7246893096492941,0.6012
0.5199999999999999,0.9704709820401323,0.9669515669515669,0.7245084344198736,0.6
0.5249999999999999,0.9704709820401323,0.9669515669515669,0.7239344929305259,0.5986
0.5299999999999999,0.9704709820401323,0.9669515669515669,0.7235485712390861,0.5972
0.5349999999999999,0.9707463867336072,0.9669515669515669,0.7229581845175028,0.5956
0.5399999999999999,0.9704698319448357,0.9663817663817664,0.722585431699673,0.5944
0.5449999999999999,0.9704698319448357,0.9663817663817664,0.7219931975706971,0.5928
0.5499999999999999,0.9704698319448357,0.9663817663817664,0.7218380052376956,0.592
0.5549999999999999,0.9704698319448357,0.9663817663817664,0.7217612616059608,0.591
