dataset,threshold,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,auc,auc_ci_lo,auc_ci_hi,brier,brier_ci_lo,brier_ci_hi,ece,unc_err_auroc
CXR-Val,0.49999999999999994,0.9710240371790493,0.9653849460611043,0.9762427002123916,0.9899816404354579,0.9865322418383525,0.9929334779012271,0.18127958300159683,0.18047553620169707,0.18215037601723202,0.390870644212952,0.7631834340321426
CheXpert-Study,0.49999999999999994,0.7238786357783431,0.7149500470284458,0.7336297582201987,0.8151351536060725,0.8062722011652165,0.8237319663155522,0.22021804939088033,0.21887581467506476,0.22152173012417004,0.16682030000987225,0.676832075312987
