dataset,n,errors,error_rate,mean_unc_correct,mean_unc_error
CXR_VAL,3628,105,0.028941565600882027,0.6904636961710646,0.6958744974363418
CHEXPERT,10000,2690,0.269,0.6947300509372586,0.6987260173244547
