dataset,macro_f1,auc,brier,ece
CXR_VAL,0.9710240371790493,0.9899816404354579,0.1276936392466135,0.3159496228906537
CHEXPERT,0.7267578722479083,0.8120674999999999,0.20157093697555517,0.08956401113639825
